"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rnf5",5.65353605441635e-34,0.38826713145404,0.454,0.285,8.42376872108037e-30,"2","Rnf5"
"Avpi1",6.11277832268041e-34,0.387155695865967,0.336,0.178,9.10803970079382e-30,"2","Avpi1"
"Hdac12",1.04116744214629e-33,0.383758527816968,0.484,0.314,1.55133948879798e-29,"2","Hdac1"
"Ndufaf3",1.67365229067356e-33,0.3444434117321,0.313,0.159,2.49374191310361e-29,"2","Ndufaf3"
"Atf31",1.93676441560502e-33,0.487241006280799,0.794,0.802,2.88577897925148e-29,"2","Atf3"
"Snapin1",2.14003218294006e-33,0.362484088999799,0.433,0.257,3.18864795258069e-29,"2","Snapin"
"Chmp2a",2.26032801106841e-33,0.324662427605004,0.755,0.63,3.36788873649193e-29,"2","Chmp2a"
"0610040J01Rik",2.63184100007467e-33,0.333447128501359,0.281,0.136,3.92144309011126e-29,"2","0610040J01Rik"
"Htatip2",2.83547348593037e-33,0.354627865592455,0.301,0.149,4.22485549403625e-29,"2","Htatip2"
"Trappc3",4.2813294754336e-33,0.344273370046613,0.532,0.358,6.37918091839606e-29,"2","Trappc3"
"Atp6v0b",6.09556491113811e-33,0.358509777248108,0.658,0.504,9.08239171759578e-29,"2","Atp6v0b"
"Fis1",6.25127489102163e-33,0.348788606641263,0.588,0.421,9.31439958762222e-29,"2","Fis1"
"Higd2a",1.04728787469715e-32,0.363597879542396,0.609,0.443,1.56045893329876e-28,"2","Higd2a"
"Mpv17",1.13695123309238e-32,0.354120225483489,0.362,0.199,1.69405733730765e-28,"2","Mpv17"
"Smim31",1.78539648618397e-32,0.4093723590557,0.421,0.253,2.66024076441412e-28,"2","Smim3"
"Churc1",1.89868370866358e-32,0.345643952207631,0.467,0.296,2.82903872590873e-28,"2","Churc1"
"Mrps34",2.80537556179441e-32,0.38203719662062,0.488,0.326,4.18000958707366e-28,"2","Mrps34"
"Faap20",8.20837642307962e-32,0.358750971955971,0.371,0.214,1.22304808703886e-27,"2","Faap20"
