"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"ATG1011",3.80917249359636e-39,0.705968806386584,0.652,0.119,6.98602235325572e-35,"12","ATG101"
"DCPS",7.75219465572287e-39,0.619856786872555,0.545,0.085,1.42175249985957e-34,"12","DCPS"
"PTPRE4",8.01582224484089e-39,0.826544551476257,0.879,0.218,1.47010179970382e-34,"12","PTPRE"
"CD43",9.04003472147726e-39,0.913149514199717,0.848,0.213,1.65794236791893e-34,"12","CD4"
"DHTKD1",9.35203478145753e-39,0.344466016375827,0.333,0.033,1.71516317891931e-34,"12","DHTKD1"
"RUBCN",1.04837975175071e-38,0.645996771420641,0.561,0.089,1.9227284647108e-34,"12","RUBCN"
"HERPUD14",1.14087027064229e-38,1.12903496858817,0.955,0.337,2.09235607635796e-34,"12","HERPUD1"
"MYDGF2",2.48196722110476e-38,0.931648295411715,0.955,0.307,4.55192788350612e-34,"12","MYDGF"
"VAMP89",2.75911141361933e-38,1.19241567600988,1,0.602,5.06021033257786e-34,"12","VAMP8"
"CXXC53",7.64735621731437e-38,0.695336811536758,0.682,0.128,1.40252513025546e-33,"12","CXXC5"
"SYK4",1.32965455166497e-37,0.64373575995451,0.742,0.146,2.43858644775356e-33,"12","SYK"
"FEZ2",1.97766770247383e-37,0.59677624919477,0.591,0.099,3.627042566337e-33,"12","FEZ2"
"IFIT2",4.16180708298605e-37,0.344138319421998,0.318,0.031,7.63275419019642e-33,"12","IFIT2"
"GNA151",4.48394239613346e-37,0.481663319977521,0.379,0.045,8.22355035450876e-33,"12","GNA15"
"PPIB5",9.11226515397661e-37,1.19195023075932,0.985,0.561,1.67118942923931e-32,"12","PPIB"
"IGKC9",9.77833642130736e-37,0.314572618696907,1,0.37,1.79334689966777e-32,"12","IGKC"
"EIF4A3",2.13541511745987e-36,0.735480524037315,0.742,0.162,3.91635132542141e-32,"12","EIF4A3"
"HIP1",3.07925264033832e-36,0.349454079323164,0.303,0.029,5.64734934238048e-32,"12","HIP1"
"GMPPB",4.83472607503863e-36,0.491068049851917,0.47,0.066,8.86688762162084e-32,"12","GMPPB"
"POLB",8.29477062445285e-36,0.361303186877653,0.333,0.035,1.52126093252465e-31,"12","POLB"
"HSP90B14",8.43889681194935e-36,1.16717266503623,0.97,0.465,1.54769367531151e-31,"12","HSP90B1"
"RNASET28",1.4337375525999e-35,1.10463050084087,0.985,0.498,2.62947467146822e-31,"12","RNASET2"
"DDAH21",2.52427352365205e-35,0.595491959180265,0.682,0.132,4.62951764237786e-31,"12","DDAH2"
"RNF5",3.16524643547793e-35,0.678027824580429,0.773,0.173,5.80506196266652e-31,"12","RNF5"
"SEC61G6",4.38637115639941e-35,1.20588785403884,0.985,0.634,8.04460470083651e-31,"12","SEC61G"
"CAPG8",5.61007991676034e-35,0.891597563879453,0.939,0.272,1.02888865673385e-30,"12","CAPG"
"COMT4",5.67466226861379e-35,0.741492010626136,0.894,0.23,1.04073306006377e-30,"12","COMT"
"MDFIC",5.77539744219271e-35,0.668459683131975,0.621,0.117,1.05920789089814e-30,"12","MDFIC"
"PBX3",6.07247441535864e-35,0.37765149900107,0.303,0.03,1.11369180777677e-30,"12","PBX3"
"TAGLN24",6.14276733921995e-35,1.17155594119041,1,0.647,1.12658353001294e-30,"12","TAGLN2"
"SLAMF7",7.09573922522876e-35,0.385297548796267,0.364,0.042,1.30135857390695e-30,"12","SLAMF7"
"A1BG",9.60709488789477e-35,0.716098982988787,0.803,0.187,1.7619412024399e-30,"12","A1BG"
