"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Dcdc2a",8.47633003335072e-40,0.366590584839017,0.279,0.029,1.18889005047777e-35,"8","Dcdc2a"
"H2afz5",1.29819598386001e-39,1.40309406630524,0.991,0.78,1.82084968696204e-35,"8","H2afz"
"Cmc2",5.43443453161781e-39,0.486997567249589,0.432,0.071,7.62233787404714e-35,"8","Cmc2"
"Mis18a",6.39544127775434e-39,0.407853827394886,0.36,0.05,8.97024593617824e-35,"8","Mis18a"
"Reep4",8.76209658095994e-39,0.529115308276483,0.423,0.068,1.22897166644544e-34,"8","Reep4"
"Psmb88",1.10581545647122e-38,0.970654547817976,0.937,0.454,1.55101675924654e-34,"8","Psmb8"
"Dnmt1",2.99031783736178e-38,0.329844365693025,0.387,0.057,4.19421979868364e-34,"8","Dnmt1"
"Psme2b4",9.00789209932115e-38,0.647562268119656,0.757,0.21,1.26344694585079e-33,"8","Psme2b"
"Haus11",1.73357852331339e-37,0.51479621873094,0.541,0.111,2.43151723679936e-33,"8","Haus1"
"Gdpd11",4.33471388398439e-37,0.607289387534333,0.568,0.122,6.07986969367651e-33,"8","Gdpd1"
"Lig1",5.27813423114619e-37,0.322156370117887,0.288,0.033,7.40311107260565e-33,"8","Lig1"
"Ptma",7.68553932601728e-37,0.518689238192787,1,0.998,1.07797374586718e-32,"8","Ptma"
"Mcm51",9.719449158348e-37,0.353602094779498,0.288,0.034,1.36324993894989e-32,"8","Mcm5"
"Krt197",1.05529361823781e-36,1.16553933555874,0.955,0.575,1.48015482894036e-32,"8","Krt19"
"Mcm71",3.65323949449985e-36,0.426151289409755,0.405,0.066,5.1240337149855e-32,"8","Mcm7"
"Gipc28",5.84156062406764e-36,0.760741318819102,0.802,0.236,8.19337293131727e-32,"8","Gipc2"
"Haus8",6.35822324750309e-36,0.296071547874299,0.27,0.03,8.91804392694784e-32,"8","Haus8"
"Cks1b4",6.71655957673033e-36,0.884220777913713,0.748,0.233,9.42064646232196e-32,"8","Cks1b"
"Gins2",1.02088777981629e-35,0.572572830660119,0.468,0.091,1.43189719997032e-31,"8","Gins2"
"Dnajc91",3.41443611169484e-35,0.480209503662778,0.505,0.102,4.78908809026318e-31,"8","Dnajc9"
"Ppa12",9.39311478659084e-35,0.7345842986934,0.712,0.205,1.31747827996723e-30,"8","Ppa1"
"2700094K13Rik3",1.11435912449248e-34,0.735896020541824,0.739,0.23,1.56300010801316e-30,"8","2700094K13Rik"
"Gipc15",1.17986496769562e-34,0.679413578443648,0.793,0.25,1.65487860368987e-30,"8","Gipc1"
"Ran3",1.9960041418228e-34,0.927289038067188,0.982,0.668,2.79959540932066e-30,"8","Ran"
"Mrps25",5.18210871498048e-34,0.546717881697577,0.676,0.172,7.26842568363162e-30,"8","Mrps25"
"Rfc51",5.70561834378973e-34,0.362892786649746,0.351,0.053,8.00270028899948e-30,"8","Rfc5"
"Agtrap1",6.95679847610507e-34,0.401071809518284,0.514,0.104,9.75760554258497e-30,"8","Agtrap"
"Isyna11",7.0955267454255e-34,0.643196358381135,0.694,0.199,9.9521858131338e-30,"8","Isyna1"
"Hmga1-rs1",7.13749281110461e-34,0.294386677074629,0.333,0.048,1.00110474168553e-29,"8","Hmga1-rs1"
"2610305D13Rik2",1.56881650507309e-33,0.408841819627458,0.559,0.12,2.20042203001551e-29,"8","2610305D13Rik"
"Wfdc28",2.6611902451515e-33,0.853374241187518,0.892,0.34,3.73258543784949e-29,"8","Wfdc2"
"Bst22",4.23236792229388e-33,0.520490752467273,0.631,0.158,5.9363192478094e-29,"8","Bst2"
"Krt88",6.21219227953657e-33,0.890732487103706,0.991,0.86,8.71322089127799e-29,"8","Krt8"
"Rangap1",1.60440019727411e-32,0.397069085400791,0.441,0.084,2.25033171669667e-28,"8","Rangap1"
"Lmnb11",1.60867052762402e-32,0.386388179100195,0.36,0.059,2.25632128204545e-28,"8","Lmnb1"
"Tagln25",1.65377370601684e-32,0.813228646758132,0.982,0.657,2.31958300005922e-28,"8","Tagln2"
"Ppia1",2.98759451838474e-32,0.472767801254383,0.991,0.993,4.19040007148644e-28,"8","Ppia"
"Tmsb4x6",3.22911086448841e-32,0.766039721098934,1,0.961,4.52915089853145e-28,"8","Tmsb4x"
"Nudt51",3.76838803822375e-32,0.486247400152176,0.631,0.162,5.28554106241263e-28,"8","Nudt5"
"Nubp11",4.20643591309704e-32,0.430599516558148,0.64,0.16,5.89994701170991e-28,"8","Nubp1"
"Rnaseh2c",8.36373375329897e-32,0.56030371628244,0.631,0.167,1.17309729623771e-27,"8","Rnaseh2c"
"Hmgb24",1.57556030328518e-31,1.45207303317458,0.865,0.414,2.20988088138779e-27,"8","Hmgb2"
"Acsl51",2.21411282648323e-31,0.484731159374781,0.55,0.128,3.10551465042538e-27,"8","Acsl5"
"Pon3",2.29043520924877e-31,0.319434325865722,0.351,0.056,3.21256442449232e-27,"8","Pon3"
"Pkm6",2.66165463892469e-31,0.760718663285796,0.964,0.726,3.73323679655577e-27,"8","Pkm"
"H2afx",3.8975868294757e-31,0.807142335902324,0.595,0.163,5.46675528702261e-27,"8","H2afx"
"Hn11",7.36809107759255e-31,0.913236067731167,0.955,0.544,1.03344845454313e-26,"8","Hn1"
"Tspan138",9.0315736817739e-31,0.694923584236547,0.793,0.262,1.26676852460561e-26,"8","Tspan13"
"S100a65",1.13679173139351e-30,0.934388882386275,0.919,0.603,1.59446408245253e-26,"8","S100a6"
"Ccdc341",1.14491248052386e-30,0.519250023721345,0.586,0.148,1.60585424518277e-26,"8","Ccdc34"
"BC030870",1.16350364310926e-30,0.290584629184968,0.27,0.035,1.63193020982505e-26,"8","BC030870"
