"","p_val","avg_diff","pct.1","pct.2","cluster","gene"
"SERBP12",8.93574591515131e-28,0.524620221875716,0.392,0.242,"3","SERBP1"
"CCT3",9.24395894365563e-28,0.493255905393185,0.314,0.181,"3","CCT3"
"PDIA61",1.14133004677685e-27,0.426552287706813,0.393,0.319,"3","PDIA6"
"NOL72",1.56892723081665e-27,0.465311024271101,0.351,0.204,"3","NOL7"
"RPL373",2.65506786798492e-27,0.284245751083473,0.681,0.584,"3","RPL37"
"HNRNPA01",3.00841233942244e-27,0.446845418978207,0.406,0.275,"3","HNRNPA0"
"PSMB1",7.31711461293119e-27,0.30617412324959,0.515,0.437,"3","PSMB1"
"EEF23",1.29156911134627e-26,0.377566973770775,0.597,0.442,"3","EEF2"
"LSM7",4.53923674737816e-26,0.518978454708565,0.286,0.131,"3","LSM7"
"RNASET2",5.0835865817482e-26,0.41253458875934,0.36,0.294,"3","RNASET2"
"U2AF1",6.96725838330045e-26,0.341114613281198,0.465,0.388,"3","U2AF1"
"DCK1",1.53778870286573e-25,0.366970711203376,0.332,0.26,"3","DCK"
"SOCS12",2.87338906311478e-25,0.454481897861884,0.544,0.421,"3","SOCS1"
"DDX5",8.59138546333697e-25,0.332561112110391,0.452,0.375,"3","DDX5"
"EIF5A",9.44898944509203e-25,0.473305444767181,0.319,0.227,"3","EIF5A"
"CCT7",1.51720082349257e-24,0.523919666693945,0.271,0.137,"3","CCT7"
"GADD45GIP11",1.57459991839341e-24,0.473199531761966,0.343,0.203,"3","GADD45GIP1"
"XRCC62",4.98787478032497e-24,0.431688642768241,0.342,0.211,"3","XRCC6"
"EDF11",5.82980128092317e-24,0.32872420398409,0.485,0.408,"3","EDF1"
"PFDN2",7.06728554528467e-24,0.526419955730824,0.29,0.162,"3","PFDN2"
"NDUFB9",1.01740976678972e-23,0.46720964710651,0.305,0.168,"3","NDUFB9"
"HNRNPM",1.81076520729321e-23,0.407438954235318,0.378,0.275,"3","HNRNPM"
"RPS213",2.90606246542612e-23,0.342320707944503,0.523,0.407,"3","RPS21"
"SSBP11",5.04298264655365e-23,0.37946469953248,0.388,0.291,"3","SSBP1"
"EPSTI12",5.20717214355556e-23,0.299950537249953,0.702,0.65,"3","EPSTI1"
"UBE2L62",7.71783784951559e-23,0.287721877442685,0.845,0.786,"3","UBE2L6"
"IRF11",1.62809676627621e-22,0.415618910572907,0.426,0.332,"3","IRF1"
"HNRNPU",2.43115003971675e-22,0.337131869177002,0.352,0.29,"3","HNRNPU"
"HLA-F",2.84196821635925e-22,0.339343770232621,0.379,0.316,"3","HLA-F"
"MIR142",9.26074206040457e-22,0.431842920561547,0.299,0.208,"3","MIR142"
"PTGES3",9.29628035053607e-22,0.265552841118906,0.36,0.3,"3","PTGES3"
"PPIA1",9.36953602120759e-22,0.37711894267314,0.384,0.3,"3","PPIA"
"ILF22",1.40536419836467e-21,0.435708292227101,0.327,0.219,"3","ILF2"
"ATP5B1",1.92285788707192e-21,0.305024647650271,0.357,0.277,"3","ATP5B"
"PCBP2",2.80040397553303e-21,0.305214524486068,0.356,0.29,"3","PCBP2"
"NHP2L13",2.80874818439048e-21,0.427191410916912,0.387,0.233,"3","NHP2L1"
"HNRNPA31",3.43162853507101e-21,0.416772030008188,0.345,0.241,"3","HNRNPA3"
"CIB11",6.40074356008861e-21,0.346415248500427,0.421,0.346,"3","CIB1"
"NR3C11",6.52156498170283e-21,0.435748144603047,0.309,0.189,"3","NR3C1"
"KARS",6.78253916679467e-21,0.394132020409525,0.269,0.181,"3","KARS"
"RNPS12",6.89107836826185e-21,0.410393691418879,0.357,0.222,"3","RNPS1"
"LAMTOR5",9.52349731568036e-21,0.331753758679806,0.371,0.307,"3","LAMTOR5"
"UBE2N",9.90217589859963e-21,0.421716791775533,0.294,0.19,"3","UBE2N"
"ADRM1",1.24732400359696e-20,0.335530913172192,0.308,0.251,"3","ADRM1"
"GDI21",2.93445445419764e-20,0.353827427459862,0.336,0.266,"3","GDI2"
"HNRNPC",3.85221372502083e-20,0.384522625820208,0.309,0.215,"3","HNRNPC"
"CYCS2",6.60437911261949e-20,0.427028542748983,0.343,0.255,"3","CYCS"
"CCT81",1.04651514695887e-19,0.419432724854557,0.323,0.21,"3","CCT8"
"UBE2I1",1.49286702554231e-19,0.332477814151504,0.369,0.279,"3","UBE2I"
"EIF3L",1.52751781157947e-19,0.436957481623941,0.264,0.136,"3","EIF3L"
"TCP1",1.72482269993303e-19,0.372671356149769,0.261,0.157,"3","TCP1"
"HNRNPDL",1.8521667011696e-19,0.442578162579442,0.284,0.161,"3","HNRNPDL"
"NDUFA9",2.02837594496582e-19,0.351948319318498,0.271,0.191,"3","NDUFA9"
"SEPT71",4.1295778296322e-19,0.305855159419414,0.42,0.333,"3","SEPT7"
"UXT1",4.53772254224163e-19,0.330152542589086,0.333,0.245,"3","UXT"
"RHOH1",5.41339230497067e-19,0.481928782494352,0.307,0.176,"3","RHOH"
"CHST121",6.94155027875349e-19,0.392786797617305,0.326,0.215,"3","CHST12"
"MINOS1",6.96566773066852e-19,0.408929967106121,0.313,0.21,"3","MINOS1"
"BANF1",1.40043485335411e-18,0.420892962485708,0.252,0.152,"3","BANF1"
"RSL1D12",9.90370795125786e-18,0.37274130978411,0.369,0.225,"3","RSL1D1"
"SNRPB1",1.18032289383044e-17,0.340343333539983,0.336,0.251,"3","SNRPB"
"EIF3K3",1.71047968833134e-17,0.29658703065598,0.475,0.396,"3","EIF3K"
"SPCS13",5.1065487967921e-17,0.269225958627737,0.38,0.269,"3","SPCS1"
"SRSF9",9.91247347541438e-17,0.357731156261251,0.278,0.17,"3","SRSF9"
"PSMD41",1.14893621866292e-16,0.352550284885538,0.313,0.236,"3","PSMD4"
"SEC11C",1.25347227833001e-16,0.435201378301704,0.256,0.142,"3","SEC11C"
"TRMT1122",2.34631657236666e-16,0.303783855175284,0.455,0.362,"3","TRMT112"
"UQCRH2",3.55054770679504e-16,0.327907511965911,0.341,0.263,"3","UQCRH"
"PSMD8",6.01627227067546e-16,0.287811904618008,0.312,0.254,"3","PSMD8"
"TAF9",8.68304758269921e-16,0.330182701822352,0.289,0.225,"3","TAF9"
"RSL24D12",3.23745624898131e-15,0.356444704205112,0.383,0.246,"3","RSL24D1"
"TUFM",6.46960667750461e-15,0.391527858964968,0.265,0.163,"3","TUFM"
"GPBP11",1.17950145476243e-14,0.276134380352938,0.414,0.357,"3","GPBP1"
"ISCU1",2.45494844343386e-14,0.274877467132797,0.417,0.341,"3","ISCU"
"ATP5J2",2.73048875863386e-14,0.315368813840433,0.272,0.208,"3","ATP5J2"
"EIF3I2",7.91414460292446e-14,0.353054617019133,0.307,0.206,"3","EIF3I"
"APRT2",1.24752552083773e-13,0.355453536688187,0.351,0.247,"3","APRT"
"DNAJC8",1.62656212798955e-13,0.301067944874339,0.304,0.243,"3","DNAJC8"
"THRAP3",1.78874839838029e-13,0.332580727481714,0.257,0.193,"3","THRAP3"
"NDUFAB1",1.78948942122247e-13,0.354392702650456,0.27,0.164,"3","NDUFAB1"
"STK4",3.23593812286444e-13,0.357260934020506,0.28,0.204,"3","STK4"
"SRSF31",6.17737965807534e-13,0.267281078077165,0.371,0.287,"3","SRSF3"
"CSDE13",6.47382255912325e-13,0.318109506553715,0.312,0.234,"3","CSDE1"
"PLP21",8.17485582495476e-13,0.260559270671533,0.331,0.278,"3","PLP2"
"EIF3M2",1.37005623924886e-12,0.331891101410042,0.324,0.218,"3","EIF3M"
"MRPL51",1.43435561882967e-12,0.341779711375253,0.266,0.178,"3","MRPL51"
"PDCD5",1.6552091597089e-12,0.337765065879391,0.252,0.163,"3","PDCD5"
"EIF3G2",2.95792317308246e-11,0.288278261213219,0.316,0.224,"3","EIF3G"
"TBCA",3.15876388868591e-11,0.268749748182838,0.257,0.201,"3","TBCA"
"HNRNPR1",4.79693139227338e-10,0.311073915237831,0.251,0.186,"3","HNRNPR"
"VMO1",0,3.04538140909157,0.711,0.025,"4","VMO1"
"FCGR3A1",0,2.80097914728412,0.981,0.133,"4","FCGR3A"
"MS4A74",0,2.36334237982675,0.994,0.226,"4","MS4A7"
"MS4A4A",0,2.20257033252715,0.902,0.079,"4","MS4A4A"
"CXCL162",0,1.96961622427137,0.92,0.155,"4","CXCL16"
"LST14",1.1556102172662e-307,1.58409479170563,0.885,0.202,"4","LST1"
"IFITM34",1.39388833652812e-290,0.94249854766912,1,0.584,"4","IFITM3"
"TYROBP4",3.36351104141504e-280,1.15193998775517,1,0.406,"4","TYROBP"
"S100A113",6.05173098695744e-280,0.980139732800343,1,0.655,"4","S100A11"
"TNFSF104",4.06467230990992e-278,1.11924276794308,1,0.728,"4","TNFSF10"
"C3AR14",1.29211630788417e-270,1.4773895254322,0.915,0.264,"4","C3AR1"
"FAM26F4",3.92642313757543e-239,1.4539266313816,0.952,0.32,"4","FAM26F"
"WARS3",5.910369688058e-232,1.317638724967,0.924,0.323,"4","WARS"
"SLC31A24",1.14264183754401e-229,1.36114093980271,0.843,0.215,"4","SLC31A2"
"AIF14",1.50213659684139e-226,1.47939215039952,0.783,0.193,"4","AIF1"
"PILRA4",1.43888701176841e-223,1.29369725335234,0.859,0.232,"4","PILRA"
"TIMP14",4.67587983203959e-222,1.28577628388185,0.996,0.436,"4","TIMP1"
"SERPINA11",5.94892254432098e-222,1.35192232615282,0.743,0.15,"4","SERPINA1"
"SOD24",9.65782252143966e-222,0.756023235534411,0.996,0.475,"4","SOD2"
"APOBEC3A4",1.60787961370091e-221,0.618799255412761,0.996,0.386,"4","APOBEC3A"
"CD863",2.30106365468141e-218,1.37881054392099,0.794,0.183,"4","CD86"
"FCER1G4",2.23397325816512e-217,1.04938828989224,0.991,0.391,"4","FCER1G"
"CH25H",5.23637431844608e-214,1.28695298980121,0.394,0.006,"4","CH25H"
"PSAP4",2.0877816704408e-210,1.12520311487313,0.976,0.414,"4","PSAP"
"CFD4",2.48404787970571e-208,1.36715616921383,0.809,0.204,"4","CFD"
"CST34",1.14629500877813e-200,0.980369821431724,0.981,0.365,"4","CST3"
"FGL24",1.36719242326714e-200,1.16872872780149,0.898,0.265,"4","FGL2"
"GBP13",3.41266311186648e-199,1.06812848624761,0.98,0.635,"4","GBP1"
"GBP52",2.46435214098347e-191,1.26108542478798,0.811,0.253,"4","GBP5"
"VASP",6.54946044751616e-184,1.21312086524454,0.678,0.121,"4","VASP"
"PLAUR4",2.01849003554555e-182,1.26205202238338,0.793,0.212,"4","PLAUR"
"ATP1B31",1.59300611848249e-175,1.17585873500709,0.791,0.228,"4","ATP1B3"
"IFITM23",3.70239332564546e-172,0.905666931641009,0.985,0.652,"4","IFITM2"
"CXCL104",3.76953438197067e-168,0.95690505721585,0.985,0.558,"4","CXCL10"
"CTSC4",4.97141155810337e-167,1.42578430063956,0.839,0.274,"4","CTSC"
"SAT12",1.01854641459853e-161,0.659972435420404,1,0.823,"4","SAT1"
"RP11-290F20.31",3.55802943530808e-161,1.15483673064306,0.576,0.088,"4","RP11-290F20.3"
"LILRB21",1.22000074131212e-160,1.13822289482505,0.665,0.144,"4","LILRB2"
"ANXA54",2.7867193754123e-157,0.447198396364063,0.978,0.464,"4","ANXA5"
"ADA4",4.11455605080125e-157,1.16159714693749,0.748,0.195,"4","ADA"
"IFIT14",3.73564113054528e-155,0.745543378821012,1,0.888,"4","IFIT1"
"CTSS4",1.21613591888191e-154,0.880385277095525,0.97,0.529,"4","CTSS"
"HLA-DPA13",1.13515372397463e-148,0.832376244902873,0.95,0.44,"4","HLA-DPA1"
"SNX104",3.14324689170789e-147,1.09775160255911,0.733,0.201,"4","SNX10"
"CARD164",1.44344600818396e-146,0.846030198988238,0.969,0.551,"4","CARD16"
"TYMP3",1.47850080832505e-146,0.561146140604852,0.991,0.57,"4","TYMP"
"VAMP54",3.60158348245873e-141,1.12928510121596,0.813,0.344,"4","VAMP5"
"TNFSF13B4",6.36395718170619e-137,0.792645185041718,0.95,0.439,"4","TNFSF13B"
"KYNU4",4.62660529367349e-134,0.794372886295713,0.848,0.313,"4","KYNU"
"OAZ13",1.2347445464124e-132,0.574572805660647,0.996,0.867,"4","OAZ1"
"GLUL4",1.89146694572542e-132,1.06123903158699,0.754,0.237,"4","GLUL"
"LILRA5",2.38112019349952e-132,1.06334781717799,0.472,0.068,"4","LILRA5"
"NCF11",4.64548180151896e-132,1.15649403959547,0.622,0.16,"4","NCF1"
"SLAMF74",4.63172104577295e-129,0.977203611242466,0.767,0.25,"4","SLAMF7"
"HN1",2.74905584110829e-126,1.12421810778399,0.556,0.117,"4","HN1"
"CLIC13",2.84707773558509e-126,0.698737597879207,0.989,0.602,"4","CLIC1"
"HLA-DRB14",1.55134041991177e-125,0.344071274893357,0.941,0.473,"4","HLA-DRB1"
"SPI14",1.6686479138449e-125,0.868719177243978,0.798,0.279,"4","SPI1"
"C15orf484",2.19615455339077e-125,0.608683406953526,0.889,0.383,"4","C15orf48"
"PLAC82",1.30495549815649e-122,1.21619193859203,0.713,0.319,"4","PLAC8"
"GLRX4",8.72747949550756e-122,0.887438197386337,0.867,0.381,"4","GLRX"
"COTL12",3.30013979515664e-121,0.941153071415558,0.796,0.311,"4","COTL1"
"LRRC25",2.29788530962767e-120,0.843342362516909,0.313,0.018,"4","LRRC25"
"TNFAIP61",2.00850463930697e-119,1.35193644311805,0.572,0.131,"4","TNFAIP6"
"S100A44",2.5853120709043e-119,0.613252452560324,0.861,0.363,"4","S100A4"
"MT2A2",3.65668973225219e-119,0.781704527005529,0.976,0.641,"4","MT2A"
"STXBP22",6.11191090190111e-119,1.01190112605893,0.652,0.189,"4","STXBP2"
"EDN1",6.49888199017825e-119,1.07402424111098,0.291,0.014,"4","EDN1"
"BID4",4.55285199447773e-118,0.880632589652482,0.776,0.278,"4","BID"
"LYN3",6.96082607073722e-116,0.85860470487869,0.7,0.213,"4","LYN"
"HAVCR22",2.55764597682076e-114,0.920528810805551,0.626,0.165,"4","HAVCR2"
"IGSF64",7.11909896457337e-111,0.726929420202932,0.781,0.295,"4","IGSF6"
"CD300E2",3.99723540932015e-109,0.884190023504778,0.643,0.182,"4","CD300E"
"ARRB2",1.10346214896368e-108,0.841027396264066,0.548,0.125,"4","ARRB2"
"CASP44",2.25006565273253e-108,0.737432894286878,0.902,0.463,"4","CASP4"
"STX114",2.43056949384483e-108,0.836112693135109,0.737,0.258,"4","STX11"
"ANXA24",1.71281936217172e-107,0.382310064003405,0.944,0.513,"4","ANXA2"
"NPC23",7.59240639351966e-107,0.616051825083691,0.939,0.489,"4","NPC2"
"CTSL4",1.95649646478148e-106,0.256737749443316,0.752,0.329,"4","CTSL"
"SCIMP",7.81292455186109e-106,0.839285358705554,0.344,0.035,"4","SCIMP"
"CD684",3.22900818531987e-105,0.696242515113446,0.787,0.31,"4","CD68"
"CXCL114",3.38316088848704e-104,0.749924484073334,0.837,0.362,"4","CXCL11"
"HSPA1A4",1.76082158532539e-103,0.296152233405098,0.769,0.346,"4","HSPA1A"
"LY6E3",1.24666377391974e-102,0.430702517134881,1,0.917,"4","LY6E"
"PTPN6",5.9285235301381e-99,0.830178169543825,0.454,0.085,"4","PTPN6"
"PLEK4",6.16495493514832e-96,0.915138319154535,0.739,0.293,"4","PLEK"
"GCH12",1.85035418438038e-94,0.802255975719906,0.609,0.183,"4","GCH1"
"IL4I14",5.93283765017214e-94,0.750840254594074,0.748,0.296,"4","IL4I1"
"FCN14",4.23836377215909e-93,0.599570899910953,0.741,0.303,"4","FCN1"
"MAFB4",9.7182879812482e-93,0.678805595483407,0.68,0.244,"4","MAFB"
"ARPC1B3",5.30187701929778e-90,0.611613544618312,0.931,0.544,"4","ARPC1B"
"IRF73",8.32292563276304e-90,0.58830492717078,0.98,0.77,"4","IRF7"
"SMCO41",1.49248035848045e-89,0.804597373453364,0.522,0.133,"4","SMCO4"
"SMIM14",2.54440068010943e-89,0.836185123039205,0.459,0.098,"4","SMIM14"
"CASP14",7.39559713641384e-89,0.71819480511674,0.83,0.408,"4","CASP1"
"DUSP11",1.73978798156766e-88,0.91153180117242,0.561,0.162,"4","DUSP1"
"RGS19",8.69569216251506e-88,0.768924494645234,0.376,0.061,"4","RGS19"
"SDCBP4",6.41027349461316e-86,0.419879221969256,0.874,0.464,"4","SDCBP"
"LAP33",3.05767533481927e-85,0.595182990246336,0.922,0.538,"4","LAP3"
"GSTO14",8.32757209654695e-85,0.373689935335893,0.841,0.439,"4","GSTO1"
"BLVRA2",8.42182574581443e-84,0.793489191683761,0.598,0.195,"4","BLVRA"
"OASL3",2.79667788910913e-83,0.593384833480428,0.956,0.624,"4","OASL"
"CYBB1",1.63991195903693e-81,0.8095801346747,0.528,0.154,"4","CYBB"
"FAM49A",7.06205015758684e-81,0.798674589917153,0.431,0.095,"4","FAM49A"
"ATG33",7.94988615511674e-81,0.61219538899946,0.748,0.328,"4","ATG3"
"JUNB1",9.88440615289181e-80,0.635836166704529,0.883,0.496,"4","JUNB"
"PSMA43",1.333921892303e-79,0.548747920647038,0.941,0.587,"4","PSMA4"
"RABGAP1L3",8.94967314264934e-79,0.669235445669095,0.743,0.325,"4","RABGAP1L"
"IFIT32",1.73632646432066e-78,0.440413070935597,0.991,0.911,"4","IFIT3"
"GBP42",2.02773935884855e-78,0.570238839586447,0.869,0.468,"4","GBP4"
"CYBA4",6.2377092286377e-78,0.524265574222877,0.97,0.648,"4","CYBA"
"PRELID12",7.4841712598662e-78,0.715119981717939,0.663,0.258,"4","PRELID1"
"HES44",9.08813037528367e-78,0.726978891335869,0.619,0.221,"4","HES4"
"IDH2",1.47249971472069e-77,0.739009969867096,0.552,0.174,"4","IDH2"
"CEBPB4",2.70435397728335e-77,0.798071972083291,0.652,0.263,"4","CEBPB"
"SERPING11",3.20876774660885e-77,0.790944462406976,0.513,0.152,"4","SERPING1"
"SLC16A31",7.49542331778668e-77,0.8452431814217,0.496,0.143,"4","SLC16A3"
"ASCL2",7.49564668521037e-77,0.73193483340873,0.372,0.07,"4","ASCL2"
"HLA-DPB14",1.01830350828911e-76,0.347253088479422,0.806,0.414,"4","HLA-DPB1"
"MSR1",1.32653458568446e-76,0.713676920710344,0.348,0.061,"4","MSR1"
"HSPB14",9.36311376775957e-76,0.436601188836373,0.757,0.363,"4","HSPB1"
"LILRB1",1.81128170071822e-75,0.778961256914755,0.394,0.086,"4","LILRB1"
"NAMPT1",3.67102294018243e-75,0.74053215599801,0.522,0.157,"4","NAMPT"
"FCGR1A",4.674195931366e-75,0.74058653194829,0.252,0.027,"4","FCGR1A"
"RAC14",8.1278609405422e-75,0.31045340437638,0.811,0.444,"4","RAC1"
"GMFG3",1.75671345450288e-74,0.63789897692756,0.739,0.336,"4","GMFG"
"ACTB2",3.02146523734629e-74,0.489576705709666,0.996,0.872,"4","ACTB"
"DYNLT14",5.13920779146733e-72,0.491139224109824,0.972,0.685,"4","DYNLT1"
"SSB4",2.11824031039149e-71,0.549946577112746,0.839,0.448,"4","SSB"
"SQRDL4",3.07714584912456e-71,0.613480270501364,0.728,0.33,"4","SQRDL"
"PLSCR13",2.19867726501515e-70,0.454918243572305,0.978,0.713,"4","PLSCR1"
"SNAP23",6.71385930785155e-70,0.742324402612407,0.457,0.125,"4","SNAP23"
"LAPTM54",1.30764740731807e-69,0.501072717927089,0.919,0.567,"4","LAPTM5"
"SERP1",1.61883943612851e-69,0.602185657939107,0.835,0.465,"4","SERP1"
"PSMB91",3.97919155759172e-68,0.42399833853633,0.996,0.861,"4","PSMB9"
"VMP1",3.0157640069689e-67,0.63741878802424,0.407,0.105,"4","VMP1"
"LAMP2",8.70283807405176e-67,0.689596848109079,0.469,0.137,"4","LAMP2"
"SCARB23",1.07959668250514e-65,0.683767454466721,0.561,0.203,"4","SCARB2"
"SAMD4A",1.82489010681082e-65,0.669859012553042,0.344,0.07,"4","SAMD4A"
"WAS",6.58469696024933e-65,0.69979673464042,0.402,0.101,"4","WAS"
"NAGK4",8.77424492771683e-65,0.599357170434254,0.674,0.298,"4","NAGK"
"IL15",9.1628677763721e-65,0.645255267549421,0.348,0.074,"4","IL15"
"CD402",1.16428886984837e-64,0.575418544829407,0.502,0.171,"4","CD40"
"ARPC54",4.7196266568645e-64,0.484832138288844,0.915,0.588,"4","ARPC5"
"OAS14",5.83070269335282e-64,0.461529017180698,0.97,0.738,"4","OAS1"
"DOCK8",2.55557885812999e-63,0.649332507977397,0.417,0.113,"4","DOCK8"
"DDX581",3.11355290152004e-63,0.493889895715899,0.811,0.441,"4","DDX58"
"ARPC23",1.81845513197549e-62,0.449627228683474,0.976,0.76,"4","ARPC2"
"SRGN3",2.62137860012638e-62,0.329578489199704,0.993,0.802,"4","SRGN"
"HLA-E",4.64561358620422e-62,0.357775219080137,0.994,0.922,"4","HLA-E"
"CD833",4.98677367547057e-62,0.312231979707987,0.469,0.184,"4","CD83"
"IFNGR21",5.09331700025987e-62,0.663950401443067,0.483,0.156,"4","IFNGR2"
"GRINA1",2.71126485896054e-61,0.593333695884597,0.389,0.103,"4","GRINA"
"THEMIS21",1.62698724934847e-60,0.59470154692558,0.424,0.127,"4","THEMIS2"
"AQP91",6.26830465440587e-60,0.686737219264067,0.398,0.106,"4","AQP9"
"DNAJA12",7.5025941575682e-60,0.478746934139933,0.941,0.662,"4","DNAJA1"
"DECR12",8.47401893602396e-60,0.549256303331822,0.556,0.218,"4","DECR1"
"ICAM22",8.7007878028351e-60,0.299904573894514,0.485,0.213,"4","ICAM2"
"CLEC2B1",1.24271567279041e-59,0.660370368896655,0.656,0.299,"4","CLEC2B"
"IFIT24",3.12243381937597e-59,0.402909305017064,0.978,0.75,"4","IFIT2"
"SLC25A37",4.88035613494308e-58,0.660924721078676,0.293,0.055,"4","SLC25A37"
"ZFP362",6.63055073602663e-58,0.518779919366154,0.796,0.44,"4","ZFP36"
"SNX24",9.1996246488093e-58,0.479742371396927,0.644,0.298,"4","SNX2"
"NINJ14",1.78593492019681e-57,0.331806313565828,0.661,0.338,"4","NINJ1"
"LILRA31",1.55112100967257e-56,0.836902080819681,0.339,0.092,"4","LILRA3"
"ATP6V0B3",4.14896759814351e-56,0.363261261495089,0.752,0.417,"4","ATP6V0B"
"HSBP13",3.34446317130543e-55,0.577078713837996,0.646,0.305,"4","HSBP1"
"IFI301",7.85609645965723e-55,0.664006459880542,0.444,0.144,"4","IFI30"
"ARPC33",1.03879956656407e-54,0.42312416594162,0.939,0.666,"4","ARPC3"
"EMP34",1.16551874760975e-54,0.253995091203959,0.976,0.72,"4","EMP3"
"BST23",1.30833965822253e-54,0.347519179781349,0.97,0.722,"4","BST2"
"HCK",1.95492495070065e-54,0.632554932604014,0.354,0.091,"4","HCK"
"TUBA1B",2.26730773606933e-54,0.548694914505611,0.574,0.243,"4","TUBA1B"
"S100A64",8.2516350297031e-54,0.344707330120263,0.889,0.572,"4","S100A6"
"MTMR11",9.2094904982299e-54,0.651412789874347,0.267,0.05,"4","MTMR11"
"NEAT13",1.36412009647352e-53,0.485490343282926,0.754,0.411,"4","NEAT1"
"RIPK21",1.41236136463214e-53,0.638310965063166,0.422,0.132,"4","RIPK2"
"MNDA3",2.07539957982508e-53,0.359016060872531,0.585,0.28,"4","MNDA"
"TUBA1A",3.81369641698333e-53,0.59841637202924,0.404,0.126,"4","TUBA1A"
"PELI1",5.00475382028418e-53,0.5533497652954,0.254,0.047,"4","PELI1"
"VPS294",1.26608143613723e-52,0.485241081433605,0.681,0.342,"4","VPS29"
"CCL33",1.0202437982662e-51,0.688901466095624,0.565,0.24,"4","CCL3"
"SLC7A7",1.48781244922825e-51,0.617682822559855,0.306,0.07,"4","SLC7A7"
"CMTM62",1.67927298354083e-51,0.436640033387006,0.53,0.229,"4","CMTM6"
"LYSMD2",5.25301557869432e-51,0.446586893703444,0.715,0.382,"4","LYSMD2"
"KLF63",1.47895102023801e-50,0.435943883512605,0.752,0.417,"4","KLF6"
"AIM2",1.57187632402997e-50,0.482237930494169,0.407,0.142,"4","AIM2"
"GPSM3",5.13637618530852e-50,0.425999174830256,0.613,0.298,"4","GPSM3"
"RNF131",7.08085658290419e-50,0.528183734174071,0.48,0.184,"4","RNF13"
"LGALS93",2.75364777316558e-49,0.462454594028808,0.624,0.302,"4","LGALS9"
"NMI",2.88778031367744e-49,0.471042224953423,0.844,0.54,"4","NMI"
"SAMSN13",4.80699868931612e-49,0.405371776202923,0.756,0.429,"4","SAMSN1"
"CFP4",2.76461632533811e-48,0.476914942135829,0.504,0.213,"4","CFP"
"SLC43A2",3.53818680698168e-48,0.629322030259537,0.293,0.069,"4","SLC43A2"
"ITM2B2",5.68600262865149e-48,0.441674432493079,0.943,0.738,"4","ITM2B"
"SERPINB14",1.06896010648392e-47,0.372021013040284,0.648,0.336,"4","SERPINB1"
"NT5C3A1",1.31468711209792e-47,0.376587889495467,0.811,0.496,"4","NT5C3A"
"TMBIM4.1",2.14496182992235e-46,0.488555111969698,0.628,0.314,"4","TMBIM4.1"
"GMPR1",2.26238285208337e-46,0.497063172890316,0.444,0.17,"4","GMPR"
"SYNGR21",4.33343952989294e-46,0.303327693502374,0.335,0.129,"4","SYNGR2"
"DRAM12",4.63534382381207e-46,0.610717081559171,0.467,0.179,"4","DRAM1"
"RAB8A3",6.46081051529615e-46,0.463597020716489,0.615,0.302,"4","RAB8A"
"GNG53",7.99164218212357e-46,0.386540224730238,0.872,0.582,"4","GNG5"
"RBX1",8.21519636138902e-46,0.42975160169354,0.698,0.381,"4","RBX1"
"CNIH4",1.0337190874124e-45,0.431806601366851,0.413,0.159,"4","CNIH4"
"FBXO63",2.08537944111058e-45,0.395214172493734,0.483,0.213,"4","FBXO6"
"ATP6V1B24",2.4061117270812e-45,0.558115825386176,0.52,0.221,"4","ATP6V1B2"
"RTCB4",2.56275883879374e-45,0.474452833188973,0.617,0.304,"4","RTCB"
"RHOC",2.61760603400783e-45,0.536659624788517,0.344,0.103,"4","RHOC"
"HMOX11",3.04751119387654e-45,0.438262479282413,0.409,0.158,"4","HMOX1"
"MFSD1",3.15373519212134e-45,0.52439275410725,0.276,0.065,"4","MFSD1"
"MYO1G",3.32649815371125e-45,0.489444888051267,0.333,0.101,"4","MYO1G"
"COX17",4.19446058691691e-45,0.411713204833019,0.439,0.18,"4","COX17"
"AGTRAP",4.22615706038405e-45,0.59257934408762,0.317,0.086,"4","AGTRAP"
"POLD4",5.29131796418057e-45,0.506557676710055,0.385,0.135,"4","POLD4"
"RNASET21",9.56461196357735e-45,0.255062899732884,0.539,0.282,"4","RNASET2"
"SAMD9L3",1.25264141772709e-44,0.31521522161054,0.844,0.56,"4","SAMD9L"
"SPTLC21",1.39605644851288e-44,0.552426321554104,0.402,0.139,"4","SPTLC2"
"ILK",1.55538364046114e-44,0.46988425674251,0.435,0.171,"4","ILK"
"AKIRIN21",2.40791062184823e-44,0.435477453610368,0.413,0.159,"4","AKIRIN2"
"CFLAR3",6.47496654989925e-44,0.359613724839162,0.693,0.391,"4","CFLAR"
"UBE2L63",1.03035724464987e-43,0.362932982137688,0.965,0.779,"4","UBE2L6"
"POMP2",1.10133501225487e-43,0.341021392030624,0.737,0.436,"4","POMP"
"ANKRD221",7.61274066997761e-43,0.590428935036493,0.409,0.147,"4","ANKRD22"
"EPSTI13",9.39351654969969e-43,0.329067910692418,0.906,0.636,"4","EPSTI1"
"IFI353",1.30481994033097e-42,0.301855673411728,0.889,0.612,"4","IFI35"
"LACTB3",1.01151773121509e-41,0.393600164943922,0.567,0.282,"4","LACTB"
"ASAH11",1.1527450913943e-41,0.570480732832446,0.456,0.183,"4","ASAH1"
"APOL32",1.45087089127194e-41,0.501386002535049,0.474,0.2,"4","APOL3"
"NDFIP11",1.87863222140918e-41,0.260918305048097,0.531,0.283,"4","NDFIP1"
