"","p_val","avg_diff","pct.1","pct.2","cluster","gene"
"RPL7A2",1.01441929072629e-79,0.505852526481649,0.88,0.686,"2","RPL7A"
"EEF1D2",1.53422298973152e-79,0.477985123715134,0.899,0.794,"2","EEF1D"
"RPL62",8.50309894637087e-79,0.448968620981047,0.923,0.747,"2","RPL6"
"FXYD51",4.91197703561326e-78,0.606598124082804,0.66,0.495,"2","FXYD5"
"IL7R2",8.64717453200821e-78,0.781843498536749,0.544,0.253,"2","IL7R"
"LTB2",1.51250712841489e-72,0.608653703937112,0.643,0.316,"2","LTB"
"DDIT4",6.72806193510554e-71,0.887500751609539,0.386,0.131,"2","DDIT4"
"EEF1A12",1.09483206029302e-63,0.439710952029998,0.81,0.725,"2","EEF1A1"
"RPS282",3.52653237934268e-63,0.399982098901528,0.842,0.732,"2","RPS28"
"NPM12",8.86537284782775e-60,0.283814647700518,0.723,0.482,"2","NPM1"
"NACA2",4.8576103893858e-59,0.355567239154875,0.873,0.773,"2","NACA"
"FYN",7.65857350721195e-59,0.749813517568298,0.299,0.09,"2","FYN"
"LDHB2",1.21117921047948e-57,0.540012329011526,0.622,0.349,"2","LDHB"
"GLIPR1",7.86423593099245e-55,0.639763586630454,0.28,0.119,"2","GLIPR1"
"BTF32",1.56463243986714e-53,0.354049277328337,0.827,0.696,"2","BTF3"
"LEPROTL12",1.63752667175797e-53,0.619808099042351,0.496,0.311,"2","LEPROTL1"
"PTPRC",5.24671350840111e-53,0.482440741375144,0.65,0.52,"2","PTPRC"
"RPS292",1.39667278208715e-52,0.479864097963516,0.604,0.405,"2","RPS29"
"RPL272",1.43040814605099e-52,0.314223309516819,0.882,0.788,"2","RPL27"
"RPL36A2",3.13347360724539e-52,0.453478653386775,0.651,0.498,"2","RPL36A"
"BTG11",1.34345371877579e-50,0.35375236335472,0.882,0.681,"2","BTG1"
"IL321",3.36127217799884e-50,0.832395960051652,0.393,0.16,"2","IL32"
"ITM2A",1.11791899074052e-49,0.701118937595686,0.298,0.104,"2","ITM2A"
"EEF22",1.34568602776889e-49,0.507782651547879,0.632,0.437,"2","EEF2"
"CLDND1",1.35188257283514e-47,0.58887150775793,0.328,0.194,"2","CLDND1"
"GLTSCR22",1.52806863681147e-47,0.464629961142177,0.611,0.401,"2","GLTSCR2"
"NR3C1",3.73821843837918e-47,0.640981995376683,0.361,0.183,"2","NR3C1"
"RPS72",6.98982327781914e-47,0.262627257534119,0.889,0.806,"2","RPS7"
"RPL36AL",5.08437783650192e-46,0.366787555104476,0.865,0.805,"2","RPL36AL"
"RPL372",2.97822306832091e-45,0.378670522148081,0.701,0.581,"2","RPL37"
"NDUFS52",1.26898097988341e-44,0.553556495160572,0.434,0.272,"2","NDUFS5"
"RPL172",2.59355747889706e-44,0.425413805951288,0.463,0.291,"2","RPL17"
"HINT12",3.91431344440261e-44,0.398868237109393,0.684,0.495,"2","HINT1"
"CD72",5.64507175160382e-44,0.621173705429589,0.47,0.231,"2","CD7"
"LCK1",3.18604914109775e-43,0.592156794332978,0.298,0.122,"2","LCK"
"RPL52",5.52068971238096e-40,0.284428432003441,0.744,0.565,"2","RPL5"
"CLEC2D2",7.12077103357351e-40,0.514911945036529,0.509,0.292,"2","CLEC2D"
"COX7C1",1.86470573586559e-39,0.3306481778376,0.547,0.474,"2","COX7C"
"RPL382",2.65477467276664e-39,0.337408867178781,0.57,0.454,"2","RPL38"
"RPL37A2",2.67478302843245e-39,0.352939816418133,0.667,0.548,"2","RPL37A"
"EIF3E2",2.65178649833843e-38,0.412811348337451,0.451,0.283,"2","EIF3E"
"ERP292",6.08649541638551e-38,0.460931018264909,0.453,0.3,"2","ERP29"
"RPL42",9.27592765442843e-38,0.406265534503143,0.718,0.562,"2","RPL4"
"EIF4A22",2.87144302293269e-37,0.344141712000619,0.58,0.41,"2","EIF4A2"
