"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Desi1",6.90868219915753e-08,0.37617807098537,0.28,0.179,0.00095692157140531,"2","Desi1"
"Mtfr1l",7.7702248403374e-08,0.277833654496432,0.355,0.251,0.00107625384263513,"2","Mtfr1l"
"F11r",7.89626998410124e-08,0.332252782243571,0.361,0.257,0.00109371235549786,"2","F11r"
"Chmp2a",1.02928034331062e-07,0.269996382803387,0.69,0.652,0.00142565620351954,"2","Chmp2a"
"Ogt1",1.30248091453057e-07,0.325791863130381,0.301,0.194,0.00180406631471629,"2","Ogt"
"Apoa1bp",1.35437370872393e-07,0.320263091288705,0.575,0.498,0.00187594302395352,"2","Apoa1bp"
"Ndufc1",1.78540895097248e-07,0.309641610009863,0.596,0.517,0.00247296993799198,"2","Ndufc1"
"Taf6l1",1.87213475399195e-07,0.41485521719746,0.343,0.249,0.00259309384775424,"2","Taf6l"
"Cttn",1.9252484864799e-07,0.315307896572014,0.446,0.352,0.00266666167862331,"2","Cttn"
"Ostf11",1.9349224657056e-07,0.307364671121201,0.467,0.375,0.00268006110724882,"2","Ostf1"
"Snapin",2.20420315869169e-07,0.334896799536417,0.355,0.249,0.00305304179510386,"2","Snapin"
"Elovl1",2.36231368788043e-07,0.282806511350062,0.407,0.302,0.00327204068908318,"2","Elovl1"
"Ndufaf3",2.47328711371411e-07,0.299435233799961,0.28,0.179,0.00342574998120541,"2","Ndufaf3"
"Abhd16a",2.48680524269351e-07,0.324172453008684,0.337,0.235,0.00344447394165478,"2","Abhd16a"
"Amd1",2.75101711489634e-07,0.337742007156324,0.37,0.27,0.00381043380584292,"2","Amd1"
"Gle11",2.94771441956394e-07,0.351611434531195,0.328,0.229,0.00408287924253802,"2","Gle1"
"Pvrl21",3.00745356479719e-07,0.332748601942903,0.38,0.274,0.00416562393260058,"2","Pvrl2"
"Lsr1",3.85508559688138e-07,0.27604990706649,0.554,0.449,0.00533967906024039,"2","Lsr"
"Alad",3.96756508523022e-07,0.272939921438441,0.476,0.38,0.00549547439955237,"2","Alad"
"Glrx2",3.99229278484135e-07,0.34443717280877,0.434,0.352,0.00552972473628376,"2","Glrx2"
"Rsrp11",4.55215307755486e-07,0.308182486079222,0.611,0.533,0.00630518722772124,"2","Rsrp1"
"Trappc4",4.85220586930426e-07,0.317816457028422,0.455,0.364,0.00672079034957333,"2","Trappc4"
"Mrpl40",4.86485031138208e-07,0.281218544519942,0.325,0.227,0.00673830416629531,"2","Mrpl40"
"Mvp",5.49676454879499e-07,0.267147904330854,0.352,0.248,0.00761356857653595,"2","Mvp"
"Cmpk1",5.56266689615182e-07,0.328307923531846,0.428,0.343,0.00770484991785989,"2","Cmpk1"
"Rnf114",6.47115117430969e-07,0.262517039546049,0.286,0.186,0.00896319149153635,"2","Rnf114"
"Dazap2",6.48477446458942e-07,0.295704341816562,0.581,0.518,0.0089820611109028,"2","Dazap2"
"Pon2",7.37563782465078e-07,0.366786055100754,0.337,0.243,0.0102159959509238,"2","Pon2"
"Maoa",9.49416256128468e-07,0.301016764843454,0.253,0.161,0.0131503645636354,"2","Maoa"
"Alg14",1.05656429191028e-06,0.395641820352241,0.301,0.209,0.0146344720072493,"2","Alg14"
"Mrpl381",1.45182072102315e-06,0.27886970892125,0.428,0.338,0.0201091688068917,"2","Mrpl38"
"Sdf41",1.4861200655211e-06,0.262955589681936,0.458,0.361,0.0205842490275328,"2","Sdf4"
"Pfdn1",1.63490088078027e-06,0.26853562812085,0.539,0.467,0.0226450120996875,"2","Pfdn1"
"Fis1",1.98576742311212e-06,0.278759533370804,0.539,0.464,0.027504864577526,"2","Fis1"
"Fam173a1",2.28918132406408e-06,0.285920671958304,0.482,0.397,0.0317074505196115,"2","Fam173a"
"0610009B22Rik",3.05452798957229e-06,0.299012434526964,0.316,0.224,0.0423082671835658,"2","0610009B22Rik"
"Smdt1",4.23791683895456e-06,0.274374167269056,0.611,0.556,0.0586993861363596,"2","Smdt1"
"Ctnnbl1",4.44160960122911e-06,0.312640283220856,0.34,0.252,0.0615207345866244,"2","Ctnnbl1"
